entry,numberOfJets,numberOfBJets,met,jetPtRec[0],jetPtRec[1],jetPtRec[2],jetPtRec[3],jetEtaRec[0],jetEtaRec[1],jetEtaRec[2],jetEtaRec[3],jetPhiRec[0],jetPhiRec[1],jetPhiRec[2],jetPhiRec[3],jetMass[0],jetMass[1],jetMass[2],jetMass[3]
1923,2,0,258.35,153.844,117.534,-1,-1,-1.62483,-0.735823,0,0,2.33208,2.30922,0,0,24.5436,17.8303,0,0
1924,2,0,473.46,422.003,72.2079,-1,-1,1.27726,-0.17659,0,0,-0.82225,-0.388901,0,0,56.115,13.1982,0,0
1925,4,0,150.279,329.1,167.378,46.6841,38.0943,0.312555,2.25511,-0.698574,1.2181,1.6384,-0.620668,-2.458,-2.30618,29.6022,14.92,7.2374,8.67749
1926,2,0,175.211,189.074,56.3881,-1,-1,-0.947145,0.435814,0,0,-1.17548,0.752973,0,0,15.4022,7.18232,0,0
1927,2,0,187.699,212.25,72.3436,-1,-1,0.566517,1.69074,0,0,-1.66437,2.67962,0,0,19.366,12.5568,0,0
1928,2,0,493.796,293.536,249.589,-1,-1,2.08086,0.651918,0,0,-1.78244,-0.997933,0,0,59.3698,35.5559,0,0
1929,2,0,291.262,262.583,45.2932,-1,-1,0.0644741,-0.30959,0,0,-2.32552,2.70691,0,0,14.8423,8.1325,0,0
1930,3,0,692.897,459.723,308.901,57.7713,-1,1.54019,0.527651,1.12953,0,-2.6836,-1.8578,-0.891249,0,31.8039,30.5085,10.1007,0
1931,4,0,265.771,142.655,133.973,46.3466,37.0487,1.42499,-1.73373,1.26968,-2.01715,-1.42605,-2.11029,-2.11971,-2.70333,19.6302,15.1113,7.66451,8.02132
1932,2,0,294.107,312.577,44.8384,-1,-1,-1.72854,-0.364318,0,0,-1.14352,-2.71122,0,0,52.5365,9.17741,0,0
1933,1,0,202.786,157.987,-1,-1,-1,-1.45846,0,0,0,0.643468,0,0,0,22.0114,0,0,0
1934,1,0,193.644,194.867,-1,-1,-1,-2.19582,0,0,0,-0.895801,0,0,0,23.7629,0,0,0
1935,2,0,359.024,324.112,50.406,-1,-1,1.02127,-0.0524827,0,0,-0.0699987,0.00757956,0,0,30.3214,10.3377,0,0
1936,2,0,92.608,187.249,66.4103,-1,-1,-0.212577,-0.816916,0,0,2.9387,-0.491796,0,0,29.5715,10.1059,0,0
1937,1,0,206.884,224.656,-1,-1,-1,-1.20665,0,0,0,-1.15988,0,0,0,24.2554,0,0,0
1938,2,0,224.922,246.353,38.6397,-1,-1,-1.23854,-0.421287,0,0,-0.194996,2.53523,0,0,33.749,8.33512,0,0
1939,4,0,319.881,188.528,91.5468,80.1826,37.3626,0.251279,-2.13704,1.17201,-1.07712,-1.68009,3.05052,-2.05083,2.70953,21.7237,14.9399,11.4647,9.89919
1940,5,0,196.215,138.667,130.38,63.6266,54.6263,0.433915,1.11277,-0.507491,0.12813,2.08591,-1.68139,-1.36596,-2.84514,9.62678,26.8681,9.15305,10.4417
1941,1,0,202.639,174.068,-1,-1,-1,0.407058,0,0,0,1.48701,0,0,0,16.5337,0,0,0
